Run ID,Campaign ID,Candidate,Source,Stage,Disposition,Reason
N5K-20260806-061,new_5000,Chacha's Club,https://hh.ru/vacancy/129530808,LEGAL MATCH,EXCLUDED,"Repeated candidate; exact legal-scale-owner chain remains incomplete"
N5K-20260806-061,new_5000,БТЕ,https://hh.ru/vacancy/129749418,SIGNAL CONFIRMED,EXCLUDED,"Brand-to-legal identity and owner/LPR not fully verified"
N5K-20260806-061,new_5000,Хэппи,https://hh.ru/vacancy/129671665,LEGAL MATCH,EXCLUDED,"Repeated candidate; mandatory legal identifiers and scale not fully closed"
N5K-20260806-061,new_5000,КЛЮЧ / ООО Ом,https://hh.ru/vacancy/129619655,LEGAL MATCH,DUPLICATE,"Previously reviewed in campaign"
N5K-20260806-061,new_5000,Alpine Floor,https://hh.ru/vacancy/125786044,SIZE CHECK,EXCLUDED,"Large established group; owner/LPR and exact legal entity for vacancy not fully matched"
N5K-20260806-061,new_5000,ВОРЛД Русланд,https://hh.ru/vacancy/129742362,LEGAL MATCH,EXCLUDED,"Repeated candidate; full qualification chain incomplete"
N5K-20260806-061,new_5000,Федеральная сеть супермаркетов,https://hh.ru/vacancy/129737221,DISCOVERED,EXCLUDED,"Anonymous employer; no legal match"
N5K-20260806-061,new_5000,АРТКАРС,https://hh.ru/vacancy/129738622,SIGNAL CONFIRMED,EXCLUDED,"Repeated candidate; exact legal entity and owner route incomplete"
N5K-20260806-061,new_5000,Торг-Лайт,https://hh.ru/vacancy/129668251,LEGAL MATCH,DUPLICATE,"Already saved in campaign"
N5K-20260806-061,new_5000,Реал ИТ,https://hh.ru/vacancy/129678186,SIGNAL CONFIRMED,EXCLUDED,"Russian legal identity not sufficient for the UAE operating direction"
N5K-20260806-061,new_5000,Профессиональные Кадровые Решения client,https://hh.ru/vacancy/129269785,DISCOVERED,EXCLUDED,"Recruiter posting hides target legal entity"
N5K-20260806-061,new_5000,Атмосферика,https://hh.ru/vacancy/129991530,SIGNAL CONFIRMED,EXCLUDED,"Repeated candidate; legal and owner chain incomplete"
N5K-20260806-061,new_5000,Ленинградские Кухни,https://hh.ru/vacancy/129944529,SIZE CHECK,EXCLUDED,"Scale and practical owner/LPR route not fully verified"
N5K-20260806-061,new_5000,ПРОМВЫШИВКА,https://hh.ru/vacancy/129271802,SIGNAL CONFIRMED,EXCLUDED,"Brand-to-legal identity, INN/OGRN and owner not closed"
N5K-20260806-061,new_5000,АКРОН ХОЛДИНГ,https://hh.ru/vacancy/129473137,SIZE CHECK,EXCLUDED,"Group structure; exact employing legal entity and owner route incomplete"
N5K-20260806-061,new_5000,Циан,https://hh.ru/vacancy/130016065,SIZE CHECK,EXCLUDED,"Public/large company outside private mid-market focus"
N5K-20260806-061,new_5000,Colvir Software Solutions,https://hh.ru/vacancy/129973590,SIGNAL CONFIRMED,EXCLUDED,"Exact Russian private legal entity and owner route incomplete"
N5K-20260806-061,new_5000,ДолговНет,https://novosibirsk.hh.ru/vacancy/129519611,SIGNAL CONFIRMED,EXCLUDED,"Franchise/brand legal mapping and owner route incomplete"
N5K-20260806-061,new_5000,Мир Кальянов и Vape,https://hh.ru/vacancy/129693958,SIGNAL CONFIRMED,EXCLUDED,"Regulated nicotine/vape sector excluded from contactable consulting list"
N5K-20260806-061,new_5000,Институт Smart,https://hh.ru/vacancy/129320604,LEGAL MATCH,DUPLICATE,"Already saved as N5K-0001"
N5K-20260806-061,new_5000,ЛПК Лесресурс,https://hh.ru/vacancy/130260470,LEGAL MATCH,DUPLICATE,"Already saved as N5K-0003"
N5K-20260806-061,new_5000,GOOD!ES,https://hh.ru/vacancy/130250907,LEGAL MATCH,DUPLICATE,"Already saved as N5K-0004"
N5K-20260806-061,new_5000,РУСПАДЕЛ,https://hh.ru/vacancies/rukovoditel_klientskogo_otdela/polnaya_zanyatost,LEGAL MATCH,DUPLICATE,"Already saved as N5K-0002"
N5K-20260806-061,new_5000,Heaad,public vacancy search,DISCOVERED,DUPLICATE,"Previously reviewed"
N5K-20260806-061,new_5000,Hugency,public vacancy search,DISCOVERED,DUPLICATE,"Previously reviewed"
N5K-20260806-061,new_5000,Нацтранс,public vacancy search,DISCOVERED,DUPLICATE,"Previously reviewed"
N5K-20260806-061,new_5000,KSTALT / Мирра Архитектс,public vacancy search,DISCOVERED,DUPLICATE,"Previously reviewed"
N5K-20260806-061,new_5000,ГК Ангел,public vacancy search,DISCOVERED,DUPLICATE,"Previously reviewed"
N5K-20260806-061,new_5000,АИ Авто,public vacancy search,DISCOVERED,DUPLICATE,"Previously reviewed"
N5K-20260806-061,new_5000,MARROB,public vacancy search,DISCOVERED,DUPLICATE,"Previously reviewed"
